REGISTERED TOURISM FACILITIES  DATABASE AS AT SEPTEMBER 2022 ,,,,,,,,,,
CODE,PROVINCE,AREA,NAME OF FACILITY,ADDRESS,EMAIL,TELEPHONE,GRADE,EMPL,CAP,ROOMS
AIR,,,,,,,,,,
AIR 0009,Mat North,Victoria Falls,Wilderness Air Zimbabwe Pvt Ltd,"Ronald Brian Goatley - 366 Gibson Road – P O Box 288, Victoria Falls",tours@wilderness.co.zw,08328 43371/3,,18,6,
AIR 0010,Harare,Harare,Halsteds AviationCorporation,Mark Symthe - No 2 Mount Pleasant Road Avondale Harare,herbert@haczim.com,"0778 491 276,0242 302 353",,,103,
AIR 0011,Harare,Harare,Fastjet Zimbabwe Limited,Farai Mutamangira & Craig John William -1st Floor Domestic Terminal R Mugabe Airport Harare,faraichikuni@fastjet.com,09 882894,,82,100,
BED AND BREAKFAST ACCOMMODATION,,,,,,,,,,
BAB 0005,Bulawayo,Bulawayo,Zaks Place,"Z.H Hawa - 129 Robert Mugabe Way,Bulawayo",zaksplace@telconet.co.zw,09– 2881190/30,Comfort,21,62,34
BAB 0008,Harare,Harare,Horizon Inn,"107 Fife Avenue/Cnr Sam Nujoma Street, Harare",horizoninn@mweb.co.zw,0778082396/7,Standard,,72,36
BAB 0013,Harare,Harare,Muchuzi Lodge,"29 Western Road, P O Amby, Greendale, Harare – A.S Mlengela",baobab@africaonline.co.zw,0772 963 788,Standard,4,,
BAB 0020,Bulawayo,Bulawayo,Bulawayo Central  Lodge,"Cnr 14th Avenue/Fife Street, Bulawayo –DI Panditji",bcl@mweb.co.zw,"04 480661/481152,0731 241 880",Standard  ,3,28,16
BAB 0028,Bulawayo,Bulawayo,Wozani Lodge,"Ms B Dube, 39 Leander Avenue, Hillside, Bulawayo",wozani@mweb.co.zw,09-240905,Comfort,4,15,8
BAB 0033,Harare,Harare,Baines Bed and Breakfast,"J Leggett - 121 Baines Avenue, Harare",bainesbnb@zol.co.zw,0242 707522,Standard  ,,35,22
BAB 0036,Harare,Harare,Simba Bed And Breakfast,J M Stovring. Stand 522  New Adyllin Westgate Harare.,,0772 378 775,Standard,2,,
BAB 0037,Harare,Harare,Guinea Fowls Rest Bed Breakfast,D & A Payne - 43 College Road Alexandra Park Harare.,guineafowl@gmail.com,09 64791,Comfort,4,8,4
BAB 0038,Bulawayo,Bulawayo,Little Eden Bed & Breakfast ,"C.K Marumo- 61 Matopos Road, Famona Bulawayo",cathymwale@mweb.co.za,0775 580 377,Standard (Two Star),3,14,7
BAB 0039,Bulawayo,Bulawayo,GMB Bed And Breakfast, GMB - 259 Morgan Road Killarney Bulawayo,,"0779 596 593,04 797204",Standard,5,22,11
BAB 0040,Bulawayo,Bulawayo ,Harris Bed & Breakfast,Tonderai Byron Rice - 3 Harris Road Northend Bulawayo.,theharrisguesthouse@gmail.com,0775 993 085,Standard,4,21,9
BAB 0047,Manicaland,Mutare ,Gordon s Bed And Breakfast - Inns Of Zimbabwe Mutare,G Addams - 125 First Street Mutare,info@innsofzimbabwe.co.zw,09 239418,Standard,5,16,8
BAB 0050,Mash East,Macheke,Hilltown Accommodation ,Walter R Ushe - 759 Eldorado Road Macheke,walter@resort.co.zw,0772 611 876,,,20,10
BAB 0051,Mash West,Karoi ,Secret Gardens ,Edna A Mortimer - 2 Mcdougal Flats The Cresent Road Chinhoyi,ednamortime217@gmail.com,0774 739 954,Comfort ,2,16,8
BAB 0053,Mash West,Karoi,Bliss Bed And Breakfast,Foodmart Investment J Mushonga - 163 Cresent Lane Karoi,blisslodge163@gmail.com,0772 594 102/0772 593 846,Two Star,3,,
BAB 0055,Bulawayo,Bulawayo ,Bulawayo Executive Bed and Breakfast,"Ncube Brilliant & Welcome Q Mabuza - 54 Sparrow Lake Way, Burnisde, Bulawayo ",  ,0772 413 731,Comfort ,,28,14
BAB 0056,Harare,Harare,Mt Pleasant Bed and Breakfast ,"Felix Mangozho - 4 Montrose Close, Mt Pleasant, Harare ",felixmangozho@gmail.com,0772970477,Comfort ,3,8,8
BAB 0060,Harare,Harare,Rest Bed & Breakbreakfast,Patrick Gome - 16 Edmond Avenue Belvedere Harare,restguesthouse2018@gmail.com,"0772 241 880,0782 041 331",Standard,3,54,17
BAB 0067,Harare,Harare,Art Lodge,"Richard & Adele Nkomo, 40 Armadale road Borrowdale, Harare",artlodges@gmail.com,0778 194 594,Comfort,3,16,8
BAB 0068,Mat South,Beitbridge,Venda Guest House,Perfect Dube - No 1055 Medium Density Ojs Shopping Centre Beitbridge ,vendaguesthouselodge@gmail.com,0771 797 759,Standard,5,24,12
BAB 0069,Midlands ,Kwekwe,Khayalethu Garden Lodges ,"Angeline Kasipo - 14 Chelmsford,Fitchlea Kwekwe",khayalethugardens@gmail.com,0772 307 489,Comfort,,12,6
BAB 0070,Mash West,Chinhoyi,Sitram Hospitality,Lucia Musaemura & J Sithole - 11405 Fairview Road Mzari Chinhoyi,musaemurasitholie@gmail.com,0772 390 155,Standard,11,14,7
BAB 0071,Bulawayo,Bulawayo,Elgiboh  Bed And Breakfast,K & S Ngwenya  - 61 Athlone Avenue Northend Bulawayo,info@elgibohtravel.com,0772870174/ 04-333044,Standard,7,18,9
BAB 0074,Manicaland,Chipinge,Eastern Inn,"Mirriam Mashava - 5194 Medium Density, Chipinge",homeofhopeinvest2018@gmail.com002272042911,79710,,1,,
BAB 0078,Harare,Harare,Sterling Boutique Lodge,Shaurai Manyika -  40 Gilmore Drive Hogerty Hill Harare,info@sterlinglodges.com,0773 062 485,Comfort,2,30,9
BAB 0079,Mat North,Victoria Falls,Tatenda Safaris ,"541 Reynard Road, P O Box 105, Victoria Falls – Mr & Mrs Gunda",tatendasafaris@yahoo.com,013 43349,Comfort,6,16,8
BAB 0081,Harare,Harare,Mabelreign Guest House,Joel Tendere - 2 Second Avenue Mabelreign Harare,mabereighguesthouse@gmail.com,0785 573 128,,4,26,13
BAB 0082,Mash West,Kadoma,Luna Lodge Kadoma ,Tichaona Matiki - 822 Josiah Tongogara Kadoma ,kadomalunalodge@gmail.com,0788 570 798,Standard,8,24,12
BAB 0083,Harare,Harare,Borrowdale Brooke Bed And Breakfast,P Chiyangwa -500 The Brooke Borrowdale Harare,philip.chiyangwa@gmail.com,0242 498040,,20,,
BAB 0084,Mash West,Karoi,Royal Villa Lodges ,Efati Jackson - 7902 Lake View Road Karoi,royalvillalodges@gmail.com,0777 119 433,One Star,8,24,12
